minimum_for_axis_X,minimum_for_axis_Y,minimum_for_axis_Z,minimum_for_magnitude,average_acceleration_for_axis_X,average_acceleration_for_axis_Y,average_acceleration_for_axis_Z,average_acceleration_for_magnitude,standard_deviation_for_axis_X,standard_deviation_for_axis_Y,standard_deviation_for_axis_Z,standard_deviation_for_magnitude,average_absolute_difference_for_axis_X,average_absolute_difference_for_axis_Y,average_absolute_difference_for_axis_Z,average_absolute_difference_for_magnitude,zero_crossing_rate_for_axis_X,zero_crossing_rate_for_axis_Y,zero_crossing_rate_for_axis_Z,bin0_X,bin1_X,bin2_X,bin3_X,bin4_X,bin5_X,bin6_X,bin7_X,bin8_X,bin9_X,bin0_Y,bin1_Y,bin2_Y,bin3_Y,bin4_Y,bin5_Y,bin6_Y,bin7_Y,bin8_Y,bin9_Y,bin0_Z,bin1_Z,bin2_Z,bin3_Z,bin4_Z,bin5_Z,bin6_Z,bin7_Z,bin8_Z,bin9_Z,bin0_magnitude,bin1_magnitude,bin2_magnitude,bin3_magnitude,bin4_magnitude,bin5_magnitude,bin6_magnitude,bin7_magnitude,bin8_magnitude,bin9_magnitude,userID
-12.918991088867188,-62.965728759765625,-9.30029296875,3.4302210831620292,6.814210206270218,-5.474642872810364,0.7195231318473816,11.0021655969118,4.983040041902485,7.454503361053361,2.3439582274022643,6.462947441099166,4.064968000631779,4.155518879648298,1.6553432566579431,3.574710810056295,0.009765625,0.009765625,0.06640625,0.005859375,0.001953125,0.001953125,0.0078125,0.0625,0.13671875,0.1953125,0.19140625,0.216796875,0.1796875,0.05078125,0.05078125,0.251953125,0.283203125,0.19921875,0.125,0.025390625,0.001953125,0.0,0.01171875,0.0,0.00390625,0.00390625,0.033203125,0.31640625,0.50390625,0.10546875,0.033203125,0.0,0.0,0.0,0.099609375,0.271484375,0.30078125,0.197265625,0.078125,0.025390625,0.00390625,0.00390625,0.01953125,dasdsaa
-11.999618530273438,-12.79522705078125,-8.84539794921875,5.65223894832761,-2.4093622267246246,-8.746978670358658,-2.3215808868408203,9.918708087099128,1.54798588785719,1.7798987822157064,2.8460854178627497,1.7286214409305276,0.9702945469180122,1.399505410110578,2.30818559974432,1.4155224318317499,0.0,0.0,0.015625,0.001953125,0.009765625,0.048828125,0.1328125,0.806640625,0.0,0.0,0.0,0.0,0.0,0.021484375,0.490234375,0.423828125,0.064453125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001953125,0.14453125,0.26171875,0.326171875,0.248046875,0.017578125,0.0,0.0,0.0,0.0,0.009765625,0.267578125,0.591796875,0.126953125,0.00390625,0.0,0.0,0.0,0.0,dasdsaa
-9.449783325195312,-18.57244873046875,-11.273117065429688,1.914079122933393,-2.1928927898406982,-9.321428537368774,-0.9511483013629913,10.781437634523465,2.4654103671004552,3.793325534739636,4.093879087666328,3.6865305185528126,1.9825778156518936,2.9394732108339667,3.1962259830906987,2.844287529279178,0.01171875,0.00390625,0.041015625,0.0,0.013671875,0.07421875,0.255859375,0.490234375,0.166015625,0.0,0.0,0.0,0.0,0.216796875,0.439453125,0.12890625,0.150390625,0.048828125,0.015625,0.0,0.0,0.0,0.0,0.0,0.0625,0.08984375,0.08984375,0.27734375,0.357421875,0.08984375,0.033203125,0.0,0.0,0.017578125,0.1171875,0.125,0.376953125,0.244140625,0.083984375,0.03515625,0.0,0.0,0.0,dasdsaa
-6.461822509765625,-16.958755493164062,-11.637039184570312,2.413334991206955,-1.8548427820205688,-9.411908090114594,-1.3044988512992859,10.466879658107334,1.8477845410022624,3.4438197017602366,3.5058784690303524,3.425782947929972,1.5152904014103115,2.7566132354550064,2.6916618957184255,2.7245570218433146,0.0078125,0.0,0.0390625,0.0,0.0,0.015625,0.263671875,0.595703125,0.125,0.0,0.0,0.0,0.0,0.271484375,0.359375,0.16796875,0.1796875,0.021484375,0.0,0.0,0.0,0.0,0.0,0.0,0.05078125,0.08984375,0.08984375,0.306640625,0.43359375,0.01953125,0.009765625,0.0,0.0,0.009765625,0.125,0.15234375,0.3671875,0.265625,0.052734375,0.02734375,0.0,0.0,0.0,dasdsaa
-5.6621551513671875,-19.944320678710938,-11.493392944335938,3.8937813284998133,-2.02892729640007,-9.592665284872055,-1.2797622978687286,10.748833362744714,1.598795111305597,3.783371829899566,3.6605636320699926,3.536371082947159,1.317096084356308,2.996068312902935,2.8481840569293126,2.928433218808396,0.013671875,0.00390625,0.03515625,0.0,0.0,0.0,0.27734375,0.615234375,0.107421875,0.0,0.0,0.0,0.0,0.271484375,0.3359375,0.201171875,0.162109375,0.013671875,0.015625,0.0,0.0,0.0,0.0,0.0,0.037109375,0.1171875,0.09375,0.2890625,0.400390625,0.05078125,0.01171875,0.0,0.0,0.0,0.109375,0.216796875,0.29296875,0.2421875,0.11328125,0.025390625,0.0,0.0,0.0,dasdsaa
-5.5711822509765625,-16.063323974609375,-10.202911376953125,3.305066101459585,-2.042427659034729,-9.340895622968674,-1.167075514793396,10.439137461406014,1.6855282533757252,3.2661254691393973,3.5575034533000083,3.1582792773939192,1.3735140338540077,2.559283628477715,2.8479019152000546,2.503980442468767,0.015625,0.00390625,0.03125,0.0,0.0,0.0,0.29296875,0.5859375,0.12109375,0.0,0.0,0.0,0.0,0.2421875,0.396484375,0.185546875,0.150390625,0.017578125,0.0078125,0.0,0.0,0.0,0.0,0.0,0.037109375,0.095703125,0.130859375,0.28515625,0.37109375,0.080078125,0.0,0.0,0.0,0.0,0.09765625,0.185546875,0.380859375,0.23046875,0.10546875,0.0,0.0,0.0,0.0,dasdsaa
-6.694061279296875,-20.150222778320312,-12.242767333984375,2.5110426652584863,-2.191896915435791,-9.329032063484192,-1.273107647895813,10.592214451502423,1.733917698149647,3.4982258413501532,3.9521806264939543,3.482073197307532,1.3920972123742104,2.787011894863099,3.1770037547685206,2.6920692688939005,0.01171875,0.0,0.03125,0.0,0.0,0.03125,0.244140625,0.654296875,0.0703125,0.0,0.0,0.0,0.0,0.22265625,0.32421875,0.271484375,0.169921875,0.01171875,0.0,0.0,0.0,0.0,0.0,0.00390625,0.0625,0.07421875,0.1875,0.23046875,0.322265625,0.103515625,0.015625,0.0,0.0,0.00390625,0.052734375,0.248046875,0.369140625,0.2109375,0.072265625,0.02734375,0.015625,0.0,0.0,dasdsaa
-6.217620849609375,-16.290771484375,-11.914764404296875,3.5739972614297773,-2.1719018518924713,-9.47615870833397,-1.4863226413726807,10.580646277373921,1.6001944253123408,3.4075618147680475,3.522170246813064,3.369214127202219,1.2761647423030809,2.8127341677900404,2.825661925598979,2.7978852684644875,0.01171875,0.0,0.037109375,0.0,0.0,0.009765625,0.287109375,0.62109375,0.08203125,0.0,0.0,0.0,0.0,0.30078125,0.294921875,0.220703125,0.16015625,0.0234375,0.0,0.0,0.0,0.0,0.0,0.00390625,0.03125,0.09375,0.158203125,0.2734375,0.3828125,0.056640625,0.0,0.0,0.0,0.0,0.111328125,0.22265625,0.287109375,0.283203125,0.08984375,0.005859375,0.0,0.0,0.0,dasdsaa
-7.82891845703125,-18.852569580078125,-11.258758544921875,2.3519963263507093,-2.1889460384845734,-9.095578581094742,-1.2865891754627228,10.408977295627922,2.1151855787956397,3.9980925119789688,3.6070514627264982,3.7814166487748797,1.6745000989176333,3.1577323377132416,2.8561609394382685,3.077088365910405,0.015625,0.00390625,0.041015625,0.0,0.0,0.052734375,0.2734375,0.544921875,0.12890625,0.0,0.0,0.0,0.0,0.228515625,0.322265625,0.21484375,0.19140625,0.025390625,0.017578125,0.0,0.0,0.0,0.0,0.0,0.046875,0.05859375,0.19140625,0.2734375,0.357421875,0.064453125,0.0078125,0.0,0.0,0.0078125,0.1328125,0.212890625,0.3046875,0.193359375,0.107421875,0.03515625,0.005859375,0.0,0.0,dasdsaa
-8.243118286132812,-21.385635375976562,-11.713653564453125,1.5387071101448604,-2.0827737748622894,-9.081685692071915,-1.4723082184791565,10.357608690499799,1.847418588699045,4.311948286264863,3.686690770294609,4.159343411235842,1.4509272204013541,3.5102490406716242,2.9655049606226385,3.1958961148844534,0.015625,0.00390625,0.03125,0.0,0.0,0.044921875,0.21484375,0.62109375,0.119140625,0.0,0.0,0.0,0.0,0.25,0.29296875,0.171875,0.25390625,0.015625,0.015625,0.0,0.0,0.0,0.0,0.0,0.080078125,0.046875,0.173828125,0.234375,0.419921875,0.03515625,0.009765625,0.0,0.0,0.015625,0.12109375,0.244140625,0.30078125,0.193359375,0.064453125,0.029296875,0.0234375,0.0078125,0.0,dasdsaa
-7.8121490478515625,-16.218948364257812,-12.515716552734375,2.704582607118767,-2.170283555984497,-8.955077916383743,-1.4932952225208282,10.07549030038976,1.876129736626019,3.3704949584175825,3.488934973104517,3.559598759714142,1.5285373982042074,2.7787721168715507,2.6702026615384966,2.850590692477453,0.01171875,0.0,0.03125,0.0,0.0,0.0390625,0.265625,0.611328125,0.083984375,0.0,0.0,0.0,0.0,0.208984375,0.384765625,0.150390625,0.203125,0.052734375,0.0,0.0,0.0,0.0,0.0,0.01171875,0.046875,0.0703125,0.125,0.330078125,0.376953125,0.0390625,0.0,0.0,0.0,0.005859375,0.14453125,0.1953125,0.34375,0.21875,0.060546875,0.03125,0.0,0.0,0.0,dasdsaa
-6.5623779296875,-17.167037963867188,-10.298675537109375,2.7700052590055453,-2.01156947016716,-9.021980583667755,-1.580926388502121,10.3345176673608,1.9262210471706243,3.656370606211533,3.636190348925643,3.3824358087637125,1.6282909694127738,2.971212316537276,2.9342513867886737,2.6924561543409937,0.01171875,0.00390625,0.02734375,0.0,0.0,0.02734375,0.291015625,0.55859375,0.123046875,0.0,0.0,0.0,0.0,0.26171875,0.328125,0.150390625,0.212890625,0.033203125,0.013671875,0.0,0.0,0.0,0.0,0.0,0.0390625,0.123046875,0.1328125,0.3046875,0.333984375,0.06640625,0.0,0.0,0.0,0.00390625,0.10546875,0.19921875,0.369140625,0.23046875,0.064453125,0.02734375,0.0,0.0,0.0,dasdsaa
-6.028472900390625,-19.506179809570312,-10.605133056640625,3.7338015675204383,-2.0692413449287415,-9.2609001994133,-1.5898346602916718,10.454516800182738,1.7988902595883585,3.6975582951457953,3.5231921943912394,3.5492973557424308,1.4201991448644549,2.871421077521518,2.825736661674455,2.87379016934398,0.01171875,0.00390625,0.03515625,0.0,0.0,0.005859375,0.28515625,0.609375,0.099609375,0.0,0.0,0.0,0.0,0.255859375,0.3203125,0.220703125,0.16796875,0.021484375,0.013671875,0.0,0.0,0.0,0.0,0.0,0.056640625,0.09375,0.126953125,0.29296875,0.3984375,0.03125,0.0,0.0,0.0,0.0,0.111328125,0.18359375,0.353515625,0.23828125,0.072265625,0.041015625,0.0,0.0,0.0,dasdsaa
-7.3716278076171875,-18.028961181640625,-10.253189086914062,3.3686764655139116,-2.454520434141159,-9.668410152196884,-0.6655000448226929,10.727114466237946,1.7496483624799708,2.804919693599131,3.4259955438534417,2.7460918260285196,1.424738965346478,1.9188915659906343,2.7133984421379864,1.9408639791587636,0.0078125,0.00390625,0.02734375,0.0,0.0,0.029296875,0.36328125,0.548828125,0.05859375,0.0,0.0,0.0,0.0,0.150390625,0.494140625,0.314453125,0.009765625,0.021484375,0.009765625,0.0,0.0,0.0,0.0,0.0,0.041015625,0.056640625,0.111328125,0.23828125,0.451171875,0.1015625,0.0,0.0,0.0,0.0,0.03125,0.140625,0.576171875,0.1796875,0.033203125,0.0390625,0.0,0.0,0.0,dasdsaa
-4.833770751953125,-14.535812377929688,-10.150238037109375,6.081732844007685,0.005147784948348999,-10.11937591433525,-0.017101168632507324,10.536058299633158,1.9812463446466373,1.540995012399006,2.2061429922314937,1.6001977879638352,1.524041626485996,1.234264334430918,1.7470751563087106,1.2813677219629822,0.029296875,0.0,0.056640625,0.0,0.0,0.0,0.080078125,0.37890625,0.462890625,0.078125,0.0,0.0,0.0,0.1796875,0.615234375,0.201171875,0.00390625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00390625,0.001953125,0.1015625,0.333984375,0.505859375,0.052734375,0.0,0.0,0.0,0.0,0.0,0.138671875,0.630859375,0.224609375,0.005859375,0.0,0.0,0.0,0.0,dasdsaa
